Company Name,CityU URL,Email,Company Website
"Hong Kong Julang Electronic Materials Co., Ltd.",https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/hong-kong-julang-electronic-materials-co-ltd,No Info Found,No Info Found
Hong Kong Sturdy New Materials Science Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/sturdy,hekangqiang815@163.com,No Info Found
Hong Kong Well Life Biotechnology,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hong-kong-well-life-biotechnology,No Info Found,No Info Found
Hong Kong X-Wheel Intelligence Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-start-ups/hong-kong-x-wheel-intelligence-technology-limited,hkxwheel@gmail.com,No Info Found
Hong Kong's first Cocktail Machine,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/xoxobeverages,xoxobeverages@gmail.com,No Info Found
HopTo Technology Co. Limited,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hopto-technology-co-limited,No Info Found,No Info Found
HorseOn Friends,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/horseon-friends,Horseon.hk@gmail.com,No Info Found
HotelKey,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hotelkey,info@lineless.com.hk,No Info Found
Hubrid Work,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hubrid-work,johnson.hubridwork@gmail.com,No Info Found
HydroPower Recycle System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hydropower-recycle-system,jjjasonngai@gmail.com,No Info Found
HydroTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hydrotech,No Info Found,No Info Found
HyperRadar,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/hyperradar,No Info Found,No Info Found
IPNFT,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ipnft,winko@ipnft.asia,No Info Found
ISCAN,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/iscan,iscanhk@gmail.com,No Info Found
Ihealth,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/ihealth,No Info Found,No Info Found
Immpet Biotech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/immpet-biotech,No Info Found,No Info Found
InBERG,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/inberg,No Info Found,No Info Found
InBox platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/inbox-platform,No Info Found,No Info Found
