Company Name,CityU URL,Email,Company Website
3D printing low-carbon ecological concrete,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/3d-printing-low-carbon-ecological-concrete,No Info Found,No Info Found
5th Immersiv,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/5th-immersiv,martin@bride-union.com,No Info Found
A-TCMS (Autonomous Tire Condition Monitoring System),https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/a-tcms,No Info Found,No Info Found
A.I. Ambassador (Virtual Receptionist) kiosk solution,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/ai-ambassador,info@innocorn.com,No Info Found
A3-ml Ltd,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/a3-ml,director@a3-ml.com,No Info Found
A3A PayTech Limited,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/a3a-paytech-limited,No Info Found,No Info Found
ABCDYi,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/abcdyi,hello@abcdyi.net,No Info Found
AESIR Institute Limited,https://www.cityu.edu.hk/en/hktech300/start-ups/angel-fund-start-ups/aesir,aesirhkservice@gmail.com,No Info Found
AFJ – TutorGPT,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/afj-tutorgpt,No Info Found,No Info Found
AI Doodle,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/ai-doodle,No Info Found,No Info Found
AI Fouling Identification,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/ai-fouling-identification,No Info Found,No Info Found
AI Guided Limited,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/ai-guided-limited,No Info Found,No Info Found
AI Mnemonic,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/ai-mnemonic,admin@aimnemonic.com,No Info Found
AI Motion Logistics Limited,https://www.cityu.edu.hk/en/hktech300/start-ups/angel-fund-start-ups/ai-motion-logistics-limited,info_aiml@yeah.net,No Info Found
AI Pet Tailor,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/ai-pet-tailor,petpet.tailor@gmail.com,No Info Found
AI+Transportation,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/aitransportation,No Info Found,No Info Found
AI+Web3 – Demand Abstraction Crypto Wallet Based on AI,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/aiweb3-demand-abstraction-crypto-wallet-based-ai,demandabstraction@gmail.com,No Info Found
AI-Driven Insurtech Platform,https://www.cityu.edu.hk/en/hktech300/start-ups/seed-fund-teams/ai-driven-insurtech-platform,tim.lo@mln.hk,No Info Found
